#,Event,Date,Venue,Location,Attendance
128,UFC Fight Night: Condit vs. Kampmann,"Apr 1, 2009",Sommet Center,"Nashville, Tennessee, U.S.","10,267"
127,UFC 96: Jackson vs. Jardine,"Mar 7, 2009",Nationwide Arena,"Columbus, Ohio, U.S.","17,033"
126,UFC 95: Sanchez vs. Stevenson,"Feb 21, 2009",The O2 arena,"London, England, U.K.","13,268"
125,UFC Fight Night: Lauzon vs. Stephens,"Feb 7, 2009",USF Sun Dome,"Tampa, Florida, U.S.","7,596"
124,UFC 94: St-Pierre vs. Penn 2,"Jan 31, 2009",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","14,885"
123,UFC 93: Franklin vs. Henderson,"Jan 17, 2009",The O2,"Dublin, Ireland","9,369"
122,UFC 92: The Ultimate 2008,"Dec 27, 2008",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","14,166"
121,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,"Dec 13, 2008",Palms Casino Resort,,"1,853"
120,UFC: Fight for the Troops,"Dec 10, 2008",Crown Coliseum,"Fayetteville, North Carolina, U.S.","8,500"
119,UFC 91: Couture vs. Lesnar,"Nov 15, 2008",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","14,272"
118,UFC 90: Silva vs. Côté,"Oct 25, 2008",Allstate Arena,"Rosemont, Illinois, U.S.","15,359"
117,UFC 89: Bisping vs. Leben,"Oct 18, 2008",National Indoor Arena,"Birmingham, England, U.K.","9,515"
116,UFC Fight Night: Diaz vs. Neer,"Sep 17, 2008",Omaha Civic Auditorium,"Omaha, Nebraska, U.S.","9,103"
115,UFC 88: Breakthrough,"Sep 6, 2008",Philips Arena,"Atlanta, Georgia, U.S.","14,736"
114,UFC 87: Seek and Destroy,"Aug 9, 2008",Target Center,"Minneapolis, Minnesota, U.S.","15,087"
113,UFC Fight Night: Silva vs. Irvin,"Jul 19, 2008",Palms Casino Resort,"Las Vegas, Nevada, U.S.","2,071"
112,UFC 86: Jackson vs. Griffin,"Jul 5, 2008",Mandalay Bay Events Center,,"10,990"
111,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,"Jun 21, 2008",Palms Casino Resort,,"1,853"
110,UFC 85: Bedlam,"Jun 7, 2008",The O2 arena,"London, England, U.K.","15,327"
109,UFC 84: Ill Will,"May 24, 2008",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","14,773"
108,UFC 83: Serra vs. St-Pierre 2,"Apr 19, 2008",Bell Centre,"Montreal, Quebec, Canada","21,390"
107,UFC Fight Night: Florian vs. Lauzon,"Apr 2, 2008",Broomfield Event Center,"Broomfield, Colorado, U.S.","6,742"
106,UFC 82: Pride of a Champion,"Mar 1, 2008",Nationwide Arena,"Columbus, Ohio, U.S.","16,431"
105,UFC 81: Breaking Point,"Feb 2, 2008",Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","10,583"
104,UFC Fight Night: Swick vs. Burkman,"Jan 23, 2008",Palms Casino Resort,,"1,900"
103,UFC 80: Rapid Fire,"Jan 19, 2008",Metro Radio Arena,"Newcastle upon Tyne, England, U.K.","8,412"
102,UFC 79: Nemesis,"Dec 29, 2007",Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","11,075"
101,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,"Dec 8, 2007",Palms Casino Resort,,N/A
100,UFC 78: Validation,"Nov 17, 2007",Prudential Center,"Newark, New Jersey, U.S.","14,071"
99,UFC 77: Hostile Territory,"Oct 20, 2007",U.S. Bank Arena,"Cincinnati, Ohio, U.S.","16,054"
98,UFC 76: Knockout,"Sep 22, 2007",Honda Center,"Anaheim, California, U.S.","13,770"
97,UFC Fight Night: Thomas vs. Florian,"Sep 19, 2007",Palms Casino Resort,"Las Vegas, Nevada, U.S.",N/A
96,UFC 75: Champion vs. Champion,"Sep 8, 2007",The O2 arena,"London, England, U.K.","16,235"
95,UFC 74: Respect,"Aug 25, 2007",Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","11,065"
94,UFC 73: Stacked,"Jul 7, 2007",ARCO Arena,"Sacramento, California, U.S.","13,183"
93,The Ultimate Fighter: Team Pulver vs. Team Penn Finale,"Jun 23, 2007",Palms Casino Resort,"Las Vegas, Nevada, U.S.",N/A
92,UFC 72: Victory,"Jun 16, 2007",The Odyssey,"Belfast, Northern Ireland, U.K.","7,850"
91,UFC Fight Night: Stout vs. Fisher,"Jun 12, 2007",Seminole Hard Rock Hotel and Casino,"Hollywood, Florida, U.S.",N/A
90,UFC 71: Liddell vs. Jackson,"May 26, 2007",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","14,728"
89,UFC 70: Nations Collide,"Apr 21, 2007",Manchester Evening News Arena,"Manchester, England, U.K.","15,114"
88,UFC 69: Shootout,"Apr 7, 2007",Toyota Center,"Houston, Texas, U.S.","15,269"
87,UFC Fight Night: Stevenson vs. Guillard,"Apr 5, 2007",Palms Casino Resort,"Las Vegas, Nevada, U.S.","1,734"
86,UFC 68: The Uprising,"Mar 3, 2007",Nationwide Arena,"Columbus, Ohio, U.S.","19,079"
85,UFC 67: All or Nothing,"Feb 3, 2007",Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","10,787"
84,UFC Fight Night: Evans vs. Salmon,"Jan 25, 2007",Seminole Hard Rock Hotel and Casino,"Hollywood, Florida, U.S.","5,287"
83,UFC 66: Liddell vs. Ortiz,"Dec 30, 2006",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","13,671"
82,UFC Fight Night: Sanchez vs. Riggs,"Dec 13, 2006",Marine Corps Air Station Miramar,"San Diego, California, U.S.","3,000"
81,UFC 65: Bad Intentions,"Nov 18, 2006",ARCO Arena,"Sacramento, California, U.S.","14,666"
80,The Ultimate Fighter: The Comeback Finale,"Nov 11, 2006",Hard Rock Hotel and Casino,"Las Vegas, Nevada, U.S.","1,000"
79,UFC 64: Unstoppable,"Oct 14, 2006",Mandalay Bay Events Center,,"10,173"
78,UFC Fight Night 6.5,"Oct 10, 2006",Seminole Hard Rock Hotel and Casino,"Hollywood, Florida, U.S.","3,510"
77,UFC 63: Hughes vs. Penn,"Sep 23, 2006",Arrowhead Pond of Anaheim,"Anaheim, California, U.S.","12,604"
76,UFC 62: Liddell vs. Sobral,"Aug 26, 2006",Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","10,503"
75,UFC Fight Night 6,"Aug 17, 2006",Red Rock Resort Spa and Casino,"Summerlin, Nevada, U.S.","1,412"
74,UFC 61: Bitter Rivals,"Jul 8, 2006",Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","11,167"
73,UFC Ultimate Fight Night 5,"Jun 28, 2006",Hard Rock Hotel and Casino,,606
72,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,"Jun 24, 2006",,,849
71,UFC 60: Hughes vs. Gracie,"May 27, 2006",Staples Center,"Los Angeles, California, U.S.","14,765"
70,UFC 59: Reality Check,"Apr 15, 2006",Arrowhead Pond of Anaheim,"Anaheim, California, U.S.","13,814"
69,UFC Ultimate Fight Night 4,"Apr 6, 2006",Hard Rock Hotel and Casino,"Las Vegas, Nevada, U.S.",843
68,UFC 58: USA vs. Canada,"Mar 4, 2006",Mandalay Bay Events Center,,"9,569"
67,UFC 57: Liddell vs. Couture 3,"Feb 4, 2006",,,"10,659"
66,UFC Ultimate Fight Night 3,"Jan 16, 2006",Hard Rock Hotel and Casino,,"1,008"
65,UFC 56: Full Force,"Nov 19, 2005",MGM Grand Garden Arena,,"12,000"
64,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,"Nov 5, 2005",Hard Rock Hotel and Casino,,N/A
63,UFC 55: Fury,"Oct 7, 2005",Mohegan Sun Arena,"Uncasville, Connecticut, U.S.","8,000"
62,UFC Ultimate Fight Night 2,"Oct 3, 2005",Hard Rock Hotel and Casino,"Las Vegas, Nevada, U.S.",N/A
61,UFC 54: Boiling Point,"Aug 20, 2005",MGM Grand Garden Arena,,"13,520"
60,UFC Ultimate Fight Night,"Aug 6, 2005",Cox Pavilion,,N/A
59,UFC 53: Heavy Hitters,"Jun 4, 2005",Boardwalk Hall,"Atlantic City, New Jersey, U.S.","12,000"
58,UFC 52: Couture vs. Liddell,"Apr 16, 2005",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","14,562"
57,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,"Apr 9, 2005",Cox Pavilion,,N/A
56,UFC 51: Super Saturday,"Feb 5, 2005",Mandalay Bay Events Center,,"11,072"
55,UFC 50: The War of '04,"Oct 22, 2004",Boardwalk Hall,"Atlantic City, New Jersey, U.S.","9,000"
54,UFC 49: Unfinished Business,"Aug 21, 2004",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","12,100"
53,UFC 48: Payback,"Jun 19, 2004",Mandalay Bay Events Center,,"10,000"
52,UFC 47: It's On!,"Apr 2, 2004",,,"11,437"
51,UFC 46: Supernatural,"Jan 31, 2004",,,"10,700"
50,UFC 45: Revolution,"Nov 21, 2003",Mohegan Sun Arena,"Uncasville, Connecticut, U.S.","9,200"
49,UFC 44: Undisputed,"Sep 26, 2003",Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","10,400"
48,UFC 43: Meltdown,"Jun 6, 2003",Thomas & Mack Center,,"9,800"
47,UFC 42: Sudden Impact,"Apr 25, 2003",AmericanAirlines Arena,"Miami, Florida, U.S.","7,500"
46,UFC 41: Onslaught,"Feb 28, 2003",Boardwalk Hall,"Atlantic City, New Jersey, U.S.","11,707"
45,UFC 40: Vendetta,"Nov 22, 2002",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","13,770"
44,UFC 39: The Warriors Return,"Sep 27, 2002",Mohegan Sun Arena,"Uncasville, Connecticut, U.S.","7,800"
43,UFC 38: Brawl at the Hall,"Jul 13, 2002",Royal Albert Hall,"London, England, U.K.","5,000"
42,UFC 37.5: As Real As It Gets,"Jun 22, 2002",Bellagio,"Las Vegas, Nevada, U.S.","3,700"
41,UFC 37: High Impact,"May 10, 2002",CenturyTel Center,"Bossier City, Louisiana, U.S.","7,200"
40,UFC 36: Worlds Collide,"Mar 22, 2002",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","10,000"
39,UFC 35: Throwdown,"Jan 11, 2002",Mohegan Sun Arena,"Uncasville, Connecticut, U.S.","9,600"
38,UFC 34: High Voltage,"Nov 2, 2001",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","9,000"
37,UFC 33: Victory in Vegas,"Sep 28, 2001",Mandalay Bay Events Center,,"9,500"
36,UFC 32: Showdown in the Meadowlands,"Jun 29, 2001",Continental Airlines Arena,"East Rutherford, New Jersey, U.S.","12,500"
35,UFC 31: Locked and Loaded,"May 4, 2001",Trump Taj Mahal,"Atlantic City, New Jersey, U.S.",N/A
34,UFC 30: Battle on the Boardwalk,"Feb 23, 2001",,,"3,000"
33,UFC 29: Defense of the Belts,"Dec 16, 2000",Differ Ariake Arena,"Tokyo, Japan","1,414"
32,UFC 28: High Stakes,"Nov 17, 2000",Trump Taj Mahal,"Atlantic City, New Jersey, U.S.",N/A
31,UFC 27: Ultimate Bad Boyz,"Sep 22, 2000",Lakefront Arena,"New Orleans, Louisiana, U.S.",N/A
30,UFC 26: Ultimate Field of Dreams,"Jun 9, 2000",Five Seasons Events Center,"Cedar Rapids, Iowa, U.S.","1,100"
29,UFC 25: Ultimate Japan 3,"Apr 14, 2000",Yoyogi National Gymnasium,"Tokyo, Japan",N/A
28,UFC 24: First Defense,"Mar 10, 2000",Lake Charles Civic Center,"Lake Charles, Louisiana, U.S.",N/A
27,UFC 23: Ultimate Japan 2,"Nov 19, 1999",Tokyo Bay NK Hall,"Chiba, Japan",N/A
26,UFC 22: Only One Can be Champion,"Sep 24, 1999",Lake Charles Civic Center,"Lake Charles, Louisiana, U.S.",N/A
25,UFC 21: Return of the Champions,"Jul 16, 1999",Five Seasons Events Center,"Cedar Rapids, Iowa, U.S.",N/A
24,UFC 20: Battle for the Gold,"May 7, 1999",Boutwell Memorial Auditorium,"Birmingham, Alabama, U.S.",N/A
23,UFC 19: Ultimate Young Guns,"Mar 5, 1999",Casino Magic Bay St. Louis,"Bay St. Louis, Mississippi, U.S.",N/A
22,UFC 18: The Road to the Heavyweight Title,"Jan 8, 1999",Pontchartrain Center,"New Orleans, Louisiana, U.S.",N/A
21,UFC Brazil: Ultimate Brazil,"Oct 16, 1998",Ginásio da Portuguesa,"São Paulo, Brazil",N/A
20,UFC 17: Redemption,"May 15, 1998",Mobile Civic Center,"Mobile, Alabama, U.S.",N/A
19,UFC 16: Battle in the Bayou,"Mar 13, 1998",Pontchartrain Center,"New Orleans, Louisiana, U.S.","4,600"
18,UFC Japan: Ultimate Japan,"Dec 21, 1997",Yokohama Arena,"Yokohama, Japan","5,000"
17,UFC 15: Collision Course,"Oct 17, 1997",Casino Magic Bay St. Louis,"Bay St. Louis, Mississippi, U.S.",N/A
16,UFC 14: Showdown,"Jul 27, 1997",Boutwell Memorial Auditorium,"Birmingham, Alabama, U.S.","5,000"
15,UFC 13: The Ultimate Force,"May 30, 1997",Augusta Civic Center,"Augusta, Georgia, U.S.","5,100"
14,UFC 12: Judgement Day,"Feb 7, 1997",Dothan Civic Center,"Dothan, Alabama, U.S.","3,100"
13,UFC: The Ultimate Ultimate 2,"Dec 7, 1996",Fair Park Arena,"Birmingham, Alabama, U.S.","6,000"
12,UFC 11: The Proving Ground,"Sep 20, 1996",Augusta Civic Center,"Augusta, Georgia, U.S.","4,500"
11,UFC 10: The Tournament,"Jul 12, 1996",Fair Park Arena,"Birmingham, Alabama, U.S.","4,300"
10,UFC 9: Motor City Madness,"May 17, 1996",Cobo Arena,"Detroit, Michigan, U.S.","10,000"
9,UFC 8: David vs. Goliath,"Feb 16, 1996",Coliseo Rubén Rodríguez,"Bayamón, Puerto Rico","13,000"
8,UFC: The Ultimate Ultimate,"Dec 16, 1995",Mammoth Gardens,"Denver, Colorado, U.S.","2,800"
7,UFC 7: The Brawl in Buffalo,"Sep 8, 1995",Buffalo Memorial Auditorium,"Buffalo, New York, U.S.","9,000"
6,UFC 6: Clash of the Titans,"Jul 14, 1995",Casper Events Center,"Casper, Wyoming, U.S.","2,700"
5,UFC 5: The Return of the Beast,"Apr 7, 1995",Independence Arena,"Charlotte, North Carolina, U.S.","6,000"
4,UFC 4: Revenge of the Warriors,"Dec 16, 1994",Expo Square Pavilion,"Tulsa, Oklahoma, U.S.","5,857"
3,UFC 3: The American Dream,"Sep 9, 1994",Grady Cole Center,"Charlotte, North Carolina, U.S.",N/A
2,UFC 2: No Way Out,"Mar 11, 1994",Mammoth Gardens,"Denver, Colorado, U.S.","2,000"
1,UFC 1: The Beginning,"Nov 12, 1993",McNichols Sports Arena,,"7,800"
