#,Event,Date,Venue,Location,Attendance
413,UFC 216: Ferguson vs. Lee,"Oct 7, 2017",T-Mobile Arena,"Las Vegas, Nevada, U.S.","10,638"
412,UFC Fight Night: Saint Preux vs. Okami,"Sep 23, 2017",Saitama Super Arena,"Saitama, Japan","8,571"
411,UFC Fight Night: Rockhold vs. Branch,"Sep 16, 2017",PPG Paints Arena,"Pittsburgh, Pennsylvania, U.S.","7,005"
410,UFC 215: Nunes vs. Shevchenko 2,"Sep 9, 2017",Rogers Place,"Edmonton, Alberta, Canada","16,232"
409,UFC Fight Night: Volkov vs. Struve,"Sep 2, 2017",Rotterdam Ahoy,"Rotterdam, Netherlands","10,224"
408,UFC Fight Night: Pettis vs. Moreno,"Aug 5, 2017",Arena Ciudad de México,"Mexico City, Mexico","10,172"
407,UFC 214: Cormier vs. Jones 2,"Jul 29, 2017",Honda Center,"Anaheim, California, U.S.","16,610"
406,UFC on Fox: Weidman vs. Gastelum,"Jul 22, 2017",Nassau Veterans Memorial Coliseum,"Uniondale, New York, U.S.","11,198"
405,UFC Fight Night: Nelson vs. Ponzinibbio,"Jul 16, 2017",The SSE Hydro,"Glasgow, Scotland, U.K.","10,589"
404,UFC 213: Romero vs. Whittaker,"Jul 8, 2017",T-Mobile Arena,"Las Vegas, Nevada, U.S.","12,834"
403,The Ultimate Fighter: Redemption Finale,"Jul 7, 2017",,,"6,308"
402,UFC Fight Night: Chiesa vs. Lee,"Jun 25, 2017",Chesapeake Energy Arena,"Oklahoma City, Oklahoma, U.S.","7,605"
401,UFC Fight Night: Holm vs. Correia,"Jun 17, 2017",Singapore Indoor Stadium,"Kallang, Singapore","8,414"
400,UFC Fight Night: Lewis vs. Hunt,"Jun 11, 2017",Spark Arena,"Auckland, New Zealand","8,649"
399,UFC 212: Aldo vs. Holloway,"Jun 3, 2017",Jeunesse Arena,"Rio de Janeiro, Brazil","15,412"
398,UFC Fight Night: Gustafsson vs. Teixeira,"May 28, 2017",Ericsson Globe,"Stockholm, Sweden","12,668"
397,UFC 211: Miocic vs. dos Santos 2,"May 13, 2017",American Airlines Center,"Dallas, Texas, U.S.","17,834"
396,UFC Fight Night: Swanson vs. Lobov,"Apr 22, 2017",Bridgestone Arena,"Nashville, Tennessee, U.S.","10,144"
395,UFC on Fox: Johnson vs. Reis,"Apr 15, 2017",Sprint Center,"Kansas City, Missouri, U.S.","12,171"
394,UFC 210: Cormier vs. Johnson 2,"Apr 8, 2017",KeyBank Center,"Buffalo, New York, U.S.","17,110"
393,UFC Fight Night: Manuwa vs. Anderson,"Mar 18, 2017",The O2 Arena,"London, England, U.K.","15,761"
392,UFC Fight Night: Belfort vs. Gastelum,"Mar 11, 2017",Centro de Formação Olímpica do Nordeste,"Fortaleza, Brazil","14,069"
391,UFC 209: Woodley vs. Thompson 2,"Mar 4, 2017",T-Mobile Arena,"Las Vegas, Nevada, U.S.","13,150"
390,UFC Fight Night: Lewis vs. Browne,"Feb 19, 2017",Scotiabank Centre,"Halifax, Nova Scotia, Canada","8,123"
389,UFC 208: Holm vs. de Randamie,"Feb 11, 2017",Barclays Center,"Brooklyn, New York, U.S.","15,628"
388,UFC Fight Night: Bermudez vs. The Korean Zombie,"Feb 4, 2017",Toyota Center,"Houston, Texas, U.S.","8,119"
387,UFC on Fox: Shevchenko vs. Peña,"Jan 28, 2017",Pepsi Center,"Denver, Colorado, U.S.","13,233"
386,UFC Fight Night: Rodríguez vs. Penn,"Jan 15, 2017",Talking Stick Resort Arena,"Phoenix, Arizona, U.S.","11,589"
385,UFC 207: Nunes vs. Rousey,"Dec 30, 2016",T-Mobile Arena,"Las Vegas, Nevada, U.S.","18,533"
384,UFC on Fox: VanZant vs. Waterson,"Dec 17, 2016",Golden 1 Center,"Sacramento, California, U.S.","13,136"
383,UFC 206: Holloway vs. Pettis,"Dec 10, 2016",Scotiabank Arena,"Toronto, Ontario, Canada","18,057"
382,UFC Fight Night: Lewis vs. Abdurakhimov,"Dec 9, 2016",Times Union Center,"Albany, New York, U.S.","6,216"
